GEO.id,GEO.id2,GEO.display-label,YEAR.id,FINTYPE.id,FINTYPE.display-label,FINSRC.id,FINSRC.display-label,AMOUNT
Geographic identifier code,Id2,Geographic area name,Year,Finance Type,Meaning of Finance Type,Finance Source ,Meaning of Finance Source ,"Amount ($1,000)"
0400000US01,01,Alabama,2016,01,Revenue,01,Total Revenue,30133184
0400000US01,01,Alabama,2016,01,Revenue,010,General Revenue ,25249580
0400000US01,01,Alabama,2016,01,Revenue,0101,Intergovernmental Revenue,9521969
0400000US01,01,Alabama,2016,01,Revenue,0102,Total Taxes,9919794
0400000US01,01,Alabama,2016,01,Revenue,01021,General Sales and Gross Receipts Taxes,2596223
0400000US01,01,Alabama,2016,01,Revenue,01022,Selective Sales and Gross Receipts Taxes,2509879
0400000US01,01,Alabama,2016,01,Revenue,01023,License Taxes,507479
0400000US01,01,Alabama,2016,01,Revenue,01024,Individual Income Taxes,3492904
0400000US01,01,Alabama,2016,01,Revenue,01025,Corporation Net income Taxes,376680
0400000US01,01,Alabama,2016,01,Revenue,01026,All Other Taxes ,436629
0400000US01,01,Alabama,2016,01,Revenue,0103,Current Charges,4704941
0400000US01,01,Alabama,2016,01,Revenue,0104,Miscellaneous General Revenue,1102876
0400000US01,01,Alabama,2016,01,Revenue,011,Utility Revenue ,X
0400000US01,01,Alabama,2016,01,Revenue,012,Liquor Stores Revenue,325393
0400000US01,01,Alabama,2016,01,Revenue,013,Insurance Trust Revenue ,4558211
0400000US01,01,Alabama,2016,02,Expenditure,02,Total Expenditure,30211453
0400000US01,01,Alabama,2016,02,Expenditure,021,Total Expenditure - Intergovernmental Expenditure,6672049
0400000US01,01,Alabama,2016,02,Expenditure,022,Total Expenditure - Direct Expenditure,23539404
0400000US01,01,Alabama,2016,02,Expenditure,0221,Total Expenditure - Direct Expenditure - Current Operations,17075253
0400000US01,01,Alabama,2016,02,Expenditure,0222,Total Expenditure - Direct Expenditure - Capital Outlay,1810752
0400000US01,01,Alabama,2016,02,Expenditure,0223,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,3541484
0400000US01,01,Alabama,2016,02,Expenditure,0224,Total Expenditure - Direct Expenditure - Assistance and Subsidies,773560
0400000US01,01,Alabama,2016,02,Expenditure,0225,Total Expenditure - Direct Expenditure - Interest on Debt,338355
0400000US01,01,Alabama,2016,02,Expenditure,023,Total Expenditure - General Expenditure,26348626
0400000US01,01,Alabama,2016,02,Expenditure,0231,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,6672049
0400000US01,01,Alabama,2016,02,Expenditure,0232,Total Expenditure - General Expenditure - Direct General Expenditure,19676577
0400000US01,01,Alabama,2016,02,Expenditure,0234,"General Expenditure, by Function: - Education",11376230
0400000US01,01,Alabama,2016,02,Expenditure,02341,"General Expenditure, by Function: - Public Welfare",7203252
0400000US01,01,Alabama,2016,02,Expenditure,02342,"General Expenditure, by Function: - Hospitals",2636578
0400000US01,01,Alabama,2016,02,Expenditure,02343,"General Expenditure, by Function: - Health",517728
0400000US01,01,Alabama,2016,02,Expenditure,02344,"General Expenditure, by Function: - Highways",1653128
0400000US01,01,Alabama,2016,02,Expenditure,02345,"General Expenditure, by Function: - Police Protection",170514
0400000US01,01,Alabama,2016,02,Expenditure,02346,"General Expenditure, by Function: - Correction",541525
0400000US01,01,Alabama,2016,02,Expenditure,02347,"General Expenditure, by Function: - Natural Resources",274859
0400000US01,01,Alabama,2016,02,Expenditure,02348,"General Expenditure, by Function: - Parks and Recreation",18359
0400000US01,01,Alabama,2016,02,Expenditure,02349,"General Expenditure, by Function: - Governmental Administration",575510
0400000US01,01,Alabama,2016,02,Expenditure,02350,"General Expenditure, by Function: - Interest on General Debt",338355
0400000US01,01,Alabama,2016,02,Expenditure,02351,"General Expenditure, by Function: - Other and Unallocable",1042588
0400000US01,01,Alabama,2016,02,Expenditure,025,Utility Expenditure,75
0400000US01,01,Alabama,2016,02,Expenditure,026,Liquor Stores Expenditure,321268
0400000US01,01,Alabama,2016,02,Expenditure,027,Insurance Trust Expenditure,3541484
0400000US01,01,Alabama,2016,02,Expenditure,03,Total Expenditure - Exhibit: Salaries and Wages,4760946
0400000US01,01,Alabama,2016,03,"Debt Outstanding, Long Term and Short Term",98,"Total Debt Outstanding, Long term and Short Term",8667105
0400000US01,01,Alabama,2016,04,Cash and Secuirty Holdings,99,Total Cash and Security Holdings,42962452
0400000US02,02,Alaska,2016,01,Revenue,01,Total Revenue,8071732
0400000US02,02,Alaska,2016,01,Revenue,010,General Revenue ,7628651
0400000US02,02,Alaska,2016,01,Revenue,0101,Intergovernmental Revenue,2853202
0400000US02,02,Alaska,2016,01,Revenue,0102,Total Taxes,1042164
0400000US02,02,Alaska,2016,01,Revenue,01021,General Sales and Gross Receipts Taxes,X
0400000US02,02,Alaska,2016,01,Revenue,01022,Selective Sales and Gross Receipts Taxes,260846
0400000US02,02,Alaska,2016,01,Revenue,01023,License Taxes,120529
0400000US02,02,Alaska,2016,01,Revenue,01024,Individual Income Taxes,X
0400000US02,02,Alaska,2016,01,Revenue,01025,Corporation Net income Taxes,212252
0400000US02,02,Alaska,2016,01,Revenue,01026,All Other Taxes ,448537
0400000US02,02,Alaska,2016,01,Revenue,0103,Current Charges,700785
0400000US02,02,Alaska,2016,01,Revenue,0104,Miscellaneous General Revenue,3032500
0400000US02,02,Alaska,2016,01,Revenue,011,Utility Revenue ,18640
0400000US02,02,Alaska,2016,01,Revenue,012,Liquor Stores Revenue,X
0400000US02,02,Alaska,2016,01,Revenue,013,Insurance Trust Revenue ,424441
0400000US02,02,Alaska,2016,02,Expenditure,02,Total Expenditure,12436184
0400000US02,02,Alaska,2016,02,Expenditure,021,Total Expenditure - Intergovernmental Expenditure,2038078
0400000US02,02,Alaska,2016,02,Expenditure,022,Total Expenditure - Direct Expenditure,10398106
0400000US02,02,Alaska,2016,02,Expenditure,0221,Total Expenditure - Direct Expenditure - Current Operations,7223114
0400000US02,02,Alaska,2016,02,Expenditure,0222,Total Expenditure - Direct Expenditure - Capital Outlay,1505040
0400000US02,02,Alaska,2016,02,Expenditure,0223,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,1329941
0400000US02,02,Alaska,2016,02,Expenditure,0224,Total Expenditure - Direct Expenditure - Assistance and Subsidies,155125
0400000US02,02,Alaska,2016,02,Expenditure,0225,Total Expenditure - Direct Expenditure - Interest on Debt,184886
0400000US02,02,Alaska,2016,02,Expenditure,023,Total Expenditure - General Expenditure,10873494
0400000US02,02,Alaska,2016,02,Expenditure,0231,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,2038078
0400000US02,02,Alaska,2016,02,Expenditure,0232,Total Expenditure - General Expenditure - Direct General Expenditure,8835416
0400000US02,02,Alaska,2016,02,Expenditure,0234,"General Expenditure, by Function: - Education",2864158
0400000US02,02,Alaska,2016,02,Expenditure,02341,"General Expenditure, by Function: - Public Welfare",2372655
0400000US02,02,Alaska,2016,02,Expenditure,02342,"General Expenditure, by Function: - Hospitals",28295
0400000US02,02,Alaska,2016,02,Expenditure,02343,"General Expenditure, by Function: - Health",251371
0400000US02,02,Alaska,2016,02,Expenditure,02344,"General Expenditure, by Function: - Highways",1290503
0400000US02,02,Alaska,2016,02,Expenditure,02345,"General Expenditure, by Function: - Police Protection",140154
0400000US02,02,Alaska,2016,02,Expenditure,02346,"General Expenditure, by Function: - Correction",332443
0400000US02,02,Alaska,2016,02,Expenditure,02347,"General Expenditure, by Function: - Natural Resources",479705
0400000US02,02,Alaska,2016,02,Expenditure,02348,"General Expenditure, by Function: - Parks and Recreation",15045
0400000US02,02,Alaska,2016,02,Expenditure,02349,"General Expenditure, by Function: - Governmental Administration",701168
0400000US02,02,Alaska,2016,02,Expenditure,02350,"General Expenditure, by Function: - Interest on General Debt",181709
0400000US02,02,Alaska,2016,02,Expenditure,02351,"General Expenditure, by Function: - Other and Unallocable",2216288
0400000US02,02,Alaska,2016,02,Expenditure,025,Utility Expenditure,232749
0400000US02,02,Alaska,2016,02,Expenditure,026,Liquor Stores Expenditure,X
0400000US02,02,Alaska,2016,02,Expenditure,027,Insurance Trust Expenditure,1329941
0400000US02,02,Alaska,2016,02,Expenditure,03,Total Expenditure - Exhibit: Salaries and Wages,1718737
